category,Total deaths
Tue Mar 17 2020,1
Wed Mar 18 2020,1
Thu Mar 19 2020,2
Fri Mar 20 2020,2
Sat Mar 21 2020,2
Sun Mar 22 2020,5
Mon Mar 23 2020,6
Tue Mar 24 2020,8
Wed Mar 25 2020,13
Thu Mar 26 2020,15
Fri Mar 27 2020,18
Sat Mar 28 2020,19
Sun Mar 29 2020,23
Mon Mar 30 2020,23
Tue Mar 31 2020,33
Wed Apr 01 2020,37
Thu Apr 02 2020,53
Fri Apr 03 2020,67
Sat Apr 04 2020,94
Sun Apr 05 2020,119
Mon Apr 06 2020,132
Tue Apr 07 2020,153
Wed Apr 08 2020,174
Thu Apr 09 2020,200
Fri Apr 10 2020,222
Sat Apr 11 2020,253
Sun Apr 12 2020,274
Mon Apr 13 2020,291
Tue Apr 14 2020,334
Wed Apr 15 2020,385
Thu Apr 16 2020,423
Fri Apr 17 2020,478
Sat Apr 18 2020,514
Sun Apr 19 2020,553
Mon Apr 20 2020,584
Tue Apr 21 2020,622
Wed Apr 22 2020,659
Thu Apr 23 2020,713
Fri Apr 24 2020,763
Sat Apr 25 2020,811
Sun Apr 26 2020,835
Mon Apr 27 2020,892
Tue Apr 28 2020,951
Wed Apr 29 2020,996
Thu Apr 30 2020,1082
Fri May 01 2020,1121
Sat May 02 2020,1176
Sun May 03 2020,1216
Mon May 04 2020,1300
Tue May 05 2020,1361
Wed May 06 2020,1429
Thu May 07 2020,1477
Fri May 08 2020,1540
Sat May 09 2020,1599
Sun May 10 2020,1634
Mon May 11 2020,1669
Tue May 12 2020,1725
Wed May 13 2020,1765
Thu May 14 2020,1798
Fri May 15 2020,1825
Sat May 16 2020,1858
Sun May 17 2020,1881
Mon May 18 2020,1904
Tue May 19 2020,1919
Wed May 20 2020,1962
Thu May 21 2020,1993
Fri May 22 2020,2021
Sat May 23 2020,2048
Sun May 24 2020,2073
Mon May 25 2020,2102
Tue May 26 2020,2123
Wed May 27 2020,2155
Thu May 28 2020,2189
Fri May 29 2020,2230
Sat May 30 2020,2247
Sun May 31 2020,2266
Mon Jun 01 2020,2276
Tue Jun 02 2020,2293
Wed Jun 03 2020,2312
Thu Jun 04 2020,2357
Fri Jun 05 2020,2372
Sat Jun 06 2020,2407
Sun Jun 07 2020,2426
Mon Jun 08 2020,2450
Tue Jun 09 2020,2464
Wed Jun 10 2020,2475
Thu Jun 11 2020,2487
Fri Jun 12 2020,2498
Sat Jun 13 2020,2507
Sun Jun 14 2020,2519
Mon Jun 15 2020,2527
Tue Jun 16 2020,2538
Wed Jun 17 2020,2550
Thu Jun 18 2020,2553
Fri Jun 19 2020,2564
Sat Jun 20 2020,2595
Sun Jun 21 2020,2606
Mon Jun 22 2020,2609
Tue Jun 23 2020,2619
Wed Jun 24 2020,2631
Thu Jun 25 2020,2641
Fri Jun 26 2020,2644
Sat Jun 27 2020,2652
Sun Jun 28 2020,2658
Mon Jun 29 2020,2665
Tue Jun 30 2020,2672
Wed Jul 01 2020,2676
Thu Jul 02 2020,2680
Fri Jul 03 2020,2682
Sat Jul 04 2020,2687
Sun Jul 05 2020,2689
Mon Jul 06 2020,2689
Tue Jul 07 2020,2691
Wed Jul 08 2020,2700
Thu Jul 09 2020,2703
Fri Jul 10 2020,2710
Sat Jul 11 2020,2716
Sun Jul 12 2020,2719
Mon Jul 13 2020,2722
Tue Jul 14 2020,2723
Wed Jul 15 2020,2732
Thu Jul 16 2020,2737
Fri Jul 17 2020,2746
Sat Jul 18 2020,2748
Sun Jul 19 2020,2751
Mon Jul 20 2020,2752
Tue Jul 21 2020,2753
Wed Jul 22 2020,2755
Thu Jul 23 2020,2755
Fri Jul 24 2020,2758
Sat Jul 25 2020,2759
Sun Jul 26 2020,2763
Mon Jul 27 2020,2764
Tue Jul 28 2020,2768
Wed Jul 29 2020,2769
Thu Jul 30 2020,2772
Fri Jul 31 2020,2775
Sat Aug 01 2020,2777
Sun Aug 02 2020,2778
Mon Aug 03 2020,2778
Tue Aug 04 2020,2782
Wed Aug 05 2020,2782
Thu Aug 06 2020,2783
Fri Aug 07 2020,2783
Sat Aug 08 2020,2784
Sun Aug 09 2020,2786
Mon Aug 10 2020,2786
Tue Aug 11 2020,2786
Wed Aug 12 2020,2787
Thu Aug 13 2020,2787
Fri Aug 14 2020,2788
Sat Aug 15 2020,2789
Sun Aug 16 2020,2789
Mon Aug 17 2020,2789
Tue Aug 18 2020,2793
Wed Aug 19 2020,2792
Thu Aug 20 2020,2793
Fri Aug 21 2020,2796
Sat Aug 22 2020,2797
Sun Aug 23 2020,2797
Mon Aug 24 2020,2798
Tue Aug 25 2020,2800
Wed Aug 26 2020,2802
Thu Aug 27 2020,2803
Fri Aug 28 2020,2809
Sat Aug 29 2020,2809
Sun Aug 30 2020,2810
Mon Aug 31 2020,2811
Tue Sep 01 2020,2812
Wed Sep 02 2020,2812
Thu Sep 03 2020,2812
Fri Sep 04 2020,2811
Sat Sep 05 2020,2811
Sun Sep 06 2020,2813
Mon Sep 07 2020,2813
Tue Sep 08 2020,2813
Wed Sep 09 2020,2813
Thu Sep 10 2020,2814
Fri Sep 11 2020,2813
Sat Sep 12 2020,2814
Sun Sep 13 2020,2815
Mon Sep 14 2020,2816
Tue Sep 15 2020,2820
Wed Sep 16 2020,2822
Thu Sep 17 2020,2825
Fri Sep 18 2020,2825
Sat Sep 19 2020,2826
Sun Sep 20 2020,2827
Mon Sep 21 2020,2829
Tue Sep 22 2020,2832
Wed Sep 23 2020,2835
Thu Sep 24 2020,2836
Fri Sep 25 2020,2837
Sat Sep 26 2020,2837
Sun Sep 27 2020,2839
Mon Sep 28 2020,2840
Tue Sep 29 2020,2844
Wed Sep 30 2020,2848
Thu Oct 01 2020,2851
Fri Oct 02 2020,2927
Sat Oct 03 2020,2968
Sun Oct 04 2020,2975
Mon Oct 05 2020,2980
Tue Oct 06 2020,2987
Wed Oct 07 2020,2988
Thu Oct 08 2020,2992
Fri Oct 09 2020,2997
Sat Oct 10 2020,3004
Sun Oct 11 2020,3005
Mon Oct 12 2020,3008
Tue Oct 13 2020,3017
Wed Oct 14 2020,3017
Thu Oct 15 2020,3022
Fri Oct 16 2020,3031
Sat Oct 17 2020,3041
Sun Oct 18 2020,3046
Mon Oct 19 2020,3050
Tue Oct 20 2020,3053
Wed Oct 21 2020,3062
Thu Oct 22 2020,3071
Fri Oct 23 2020,3080
Sat Oct 24 2020,3086
Sun Oct 25 2020,3093
Mon Oct 26 2020,3099
Tue Oct 27 2020,3103
Wed Oct 28 2020,3108
Thu Oct 29 2020,3118
Fri Oct 30 2020,3127
Sat Oct 31 2020,3136
Sun Nov 01 2020,3145
Mon Nov 02 2020,3152
Tue Nov 03 2020,3166
Wed Nov 04 2020,3182
Thu Nov 05 2020,3195
Fri Nov 06 2020,3209
Sat Nov 07 2020,3220
Sun Nov 08 2020,3233
Mon Nov 09 2020,3245
Tue Nov 10 2020,3260
Wed Nov 11 2020,3275
Thu Nov 12 2020,3293
Fri Nov 13 2020,3312
Sat Nov 14 2020,3332
Sun Nov 15 2020,3361
Mon Nov 16 2020,3371
Tue Nov 17 2020,3383
Wed Nov 18 2020,3415
Thu Nov 19 2020,3443
Fri Nov 20 2020,3451
Sat Nov 21 2020,3472
Sun Nov 22 2020,3486
Mon Nov 23 2020,3505
Tue Nov 24 2020,3519
Wed Nov 25 2020,3554
Thu Nov 26 2020,3575
Fri Nov 27 2020,3595
Sat Nov 28 2020,3624
Sun Nov 29 2020,3648
Mon Nov 30 2020,3656
Tue Dec 01 2020,3663
Wed Dec 02 2020,3698
Thu Dec 03 2020,3712
Fri Dec 04 2020,3737
Sat Dec 05 2020,3757
Sun Dec 06 2020,3772
Mon Dec 07 2020,3798
Tue Dec 08 2020,3808
Wed Dec 09 2020,3836
Thu Dec 10 2020,3871
Fri Dec 11 2020,3916
Sat Dec 12 2020,3933
Sun Dec 13 2020,3949